KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
"1",2024/3/21 13:39:32,"31","119.84811","31.71175","","79","171","-88.41","30.18","","","","","","39","0","3.41","2.84","2.37","0.39","","0.27","57","27.27","18.96","3.42","1","4","25","",""
"2",2024/3/21 13:39:33,"30","119.84812","31.71174","","79","171","-89.11","28.24","","","0.1","0.06","0.09","54","0","2.14","1.28","2","0.18","","0.13","77","15.21","19.84","3","1","7","25","",""
"3",2024/3/21 13:39:34,"32","119.84812","31.71174","","79","171","-91.48","27.03","","","0.14","0.14","0.12","139","0.71","6.3","3.79","2","0.32","0.12","0.25","72","28.16","19.9","8.84","1","8","25","",""
"4",2024/3/21 13:39:35,"34","119.84813","31.71174","","79","171","-92.24","27.97","","","142.49","155.97","133.87","1049","4.76","17.39","224.67","2","20.98","19.75","18.64","476","12.66","17.68","223.06","1","23","25","",""
"5",2024/3/21 13:39:36,"32","119.84814","31.71173","","79","171","-97.01","25.98","","","458.8","443.31","417.82","1248","8.98","21.69","242.89","2","53.02","44.87","47.15","552","10.74","18.72","243","1","23","25","",""
"6",2024/3/21 13:39:37,"32","119.84814","31.71173","","79","171","-90.48","26.68","","","768.42","719.49","692.16","1250","9.19","20.89","243.07","2","86.47","73.14","76.05","552","13.66","18.68","243","1","22","25","",""
"7",2024/3/21 13:39:38,"30","119.84814","31.71173","2.37","79","171","-90.83","27.43","","","853.45","754.11","762.8","1250","9.73","19.5","242.17","2","99.61","85.54","86.81","552","13.22","20.29","243","1","21","25","",""
"8",2024/3/21 13:39:39,"29","119.84814","31.71173","2.02","79","171","-96.76","25.26","","","805.72","722.21","722.91","1250","7.49","23.9","243.69","2","98.39","83.11","84.26","552","15.32","17.96","243","1","23","25","",""
"9",2024/3/21 13:39:40,"27","119.84813","31.71173","2.2","79","171","-94.25","27.22","180","-140.45","766.81","691.69","693.26","1250","8.02","23.83","242.27","2","99.98","83.69","85.46","552","13.57","19.93","243","1","21","25","",""
"10",2024/3/21 13:39:41,"25","119.84812","31.71173","2.33","79","171","-93.03","25.4","180","-127.47","752.89","680.03","681.43","1246","10.42","22.76","242.21","2","98.61","83.76","84.65","552","12.22","19.18","243","1","23","25","",""
"11",2024/3/21 13:39:42,"25","119.84811","31.71175","2.98","79","171","-92.11","26.04","180","-141.55","738.49","657.08","666.6","1252","8.32","21.18","242.68","2","102.04","86.24","87.54","552","14.75","20.01","243","1","21","25","",""
"12",2024/3/21 13:39:43,"24","119.8481","31.71175","3.32","79","171","-93.37","28.13","180","-123.50","738.48","659.69","666.87","1250","7.59","24.4","243.22","2.07","100.88","83.69","85.37","552","18.11","18.66","245.36","1","22","25","",""
"13",2024/3/21 13:39:44,"24","119.84809","31.71175","3.44","79","171","-86.14","30.8","180","-123.50","745.09","678.44","680.5","1248","6.55","25.03","241.17","2.16","92.59","74.55","78.44","552","11.11","15.48","246","1","22","25","",""
"14",2024/3/21 13:39:45,"24","119.84809","31.71175","3.06","79","171","-87.83","29.69","","","781.47","707.67","714.42","1250","8.99","25.73","243.21","2.53","95.26","76.65","79.85","552","16.57","19.54","246","1","20","25","",""
"15",2024/3/21 13:39:46,"23","119.84809","31.71175","2.48","79","171","-91.79","26.36","","","794.88","720.88","726.85","1246","8.38","25.69","242.41","2","96.8","85.55","82.64","552","13.24","18.89","246","1","22","25","",""
"16",2024/3/21 13:39:47,"22","119.84809","31.71175","2.48","79","171","-91.42","27.27","","","811.1","726.85","738.93","1246","8.66","25.84","242.06","2.3","106.99","88.89","90.18","552","15.11","19.11","246","1","22","25","",""
"17",2024/3/21 13:39:48,"22","119.84809","31.71175","2.48","79","171","-87.6","29.74","","","814.03","741.75","745.34","1248","6.48","26.45","244.27","2","105.81","91.68","91.86","552","10.45","19.34","246","1","21","25","",""
"18",2024/3/21 13:39:49,"22","119.84809","31.71175","2.23","79","171","-89.39","28.23","","","822.41","755.72","758.13","1246","4.88","26.72","243.32","2.07","104.31","89","90.28","552","15.14","18.39","245.28","1","22","25","",""
"19",2024/3/21 13:39:50,"22","119.84809","31.71175","2.23","79","171","-93.66","29.1","","","828.52","770.44","775.96","1250","4.98","26.62","241.65","2.08","103.47","89.43","90.34","552","13.13","20.01","243","1","21","25","",""
"20",2024/3/21 13:39:51,"22","119.84809","31.71175","1.89","79","171","-96.02","27.51","","","829.68","773.06","778.27","1250","6.42","25.17","243.67","2","101.42","85.82","87.53","552","12.93","19.31","243","1","23","25","",""
"21",2024/3/21 13:39:52,"22","119.84809","31.71175","1.55","79","171","-90.45","28.96","","","845.27","779.26","794","1250","7.86","22.08","239.51","2.16","101.05","86.69","87.32","552","14.49","19.49","243.69","1","21","25","",""
"22",2024/3/21 13:39:53,"22","119.84809","31.71175","0.68","79","171","-90.46","28.59","","","865","794.73","795.65","1250","7.99","21.92","240.6","2","100.27","84.89","86.72","552","12.56","18.91","246","1","22","25","",""
"23",2024/3/21 13:39:54,"22","119.84809","31.71175","0.34","79","171","-91.13","29.4","","","892.29","803.72","816.5","1250","10.89","21.95","242.22","2","100.9","86.18","87.93","552","12.13","18.76","246","1","22","25","",""
"24",2024/3/21 13:39:55,"22","119.84809","31.71175","0","79","171","-92.42","27.57","","","878.34","775.94","778.25","1250","10.69","20.82","241.4","2.15","98.35","84.69","85.58","552","14.67","17.88","244.51","1","22","25","",""
"25",2024/3/21 13:39:56,"22","119.84809","31.71175","0","79","171","-88.83","29.39","","","873.84","760.51","768.1","1252","10.53","21.02","241.72","2","100.8","86.97","88.43","552","9.67","21.6","243","1","21","25","",""
"26",2024/3/21 13:39:57,"22","119.84809","31.71175","0","79","171","-88.21","29.65","","","851.81","757.64","756.89","1250","7.45","21.08","241.62","2","104.65","90.03","90.93","552","14.75","21.95","242.98","1","21","25","",""
"27",2024/3/21 13:39:58,"22","119.84809","31.71175","0","79","171","-93.51","29.53","","","879","786.74","793.66","1252","6.59","22.45","241.73","2.25","108.17","94.15","94.69","552","11.13","19.35","243","1","23","25","",""
"28",2024/3/21 13:39:59,"22","119.84809","31.71175","0","79","171","-97.85","26.38","","","900.34","829.36","825.39","1252","7.48","22.91","242.82","2.23","104.04","89.77","89.74","552","13.04","18.73","243","1","23","25","",""
