KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
"1",2024/3/20 15:02:07,"10","119.8481","31.71163","","79","171","-83.06","27.54","180","-116.82","","","","4","","0","6.5","2","","","","1","","22","3","1","15","26","",""
"2",2024/3/20 15:02:08,"9","119.84809","31.71163","","79","171","-84.1","29.02","180","-142.44","0.13","0.09","0.1","55","0","3.58","4.67","2.11","0.15","0.11","0.13","74","10.86","23.1","4.05","1","7","25","",""
"3",2024/3/20 15:02:09,"9","119.84809","31.71163","","79","171","-76.53","30.99","180","-155.99","0.1","0.08","0.08","66","0","3.65","2.27","2","0.15","0.07","0.14","84","5","24.05","4.5","1","6","22","",""
"4",2024/3/20 15:02:10,"9","119.84809","31.71164","","79","171","-81.54","35.34","180","-156.00","73.38","52.05","67.56","940","13.02","12.67","180.44","2.15","19.49","3.9","16.5","405","15.72","19.51","186.93","1","21","23","",""
"5",2024/3/20 15:02:11,"9","119.84808","31.71163","","79","171","-82.05","34.49","180","-156.00","340.24","266.68","292.52","1404","8.36","16.85","243.73","2","55.01","40.72","47.52","600","12.16","20.49","243","1","21","22","",""
"6",2024/3/20 15:02:12,"9","119.84808","31.71163","","79","171","-87.16","33.61","","","640.68","549.6","562.63","1406","8.05","18.77","243.76","2","89.22","78.71","77.62","600","11.57","19.03","243","1","23","25","",""
"7",2024/3/20 15:02:13,"9","119.84808","31.71163","","79","171","-87.47","32.84","","","821.82","718.68","731.08","1404","8.51","25.03","241.6","2","110","95.17","97.19","600","9.76","19.12","243.15","1","23","21","",""
"8",2024/3/20 15:02:14,"9","119.84808","31.71163","2.14","79","171","-87.67","32.26","","","850.2","763.12","771.95","1404","9.01","24.52","242.29","2","108.16","95.17","96.11","600","11.66","18.93","246","1","22","21","",""
"9",2024/3/20 15:02:15,"8","119.84808","31.71164","2.41","79","171","-85.84","32.81","","","848.2","759.28","766.49","1404","9.95","22.69","243.94","2","113","96.8","101.86","600","7.83","20.14","246","1","22","21","",""
"10",2024/3/20 15:02:16,"8","119.84808","31.71164","2.1","79","171","-85.02","34.56","","","826.99","739.18","745.05","1402","8.77","23.01","244.4","2","122.42","105.35","110.23","600","10","21.48","246","1","19","21","",""
"11",2024/3/20 15:02:17,"8","119.84808","31.71164","1.87","79","171","-78.63","33.76","","","819.02","727.24","736.25","1392","9.82","23.77","241.79","2","121.19","109.37","110.55","597","7.37","18.63","246","1","19","18","",""
