KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
1,2024/3/26 10:09,28,119.8481,31.71161,,79,302,-90.25,12.33,171;73,-90.92;-96.16,,,,4,0,0,2.5,3,,,,0,,,,,,25,,
2,2024/3/26 10:09,15,119.84815,31.71159,,79,302,-91.47,14.07,171;73,-94.84;-100.00,0,0,0,14,0,1.27,2.36,3,,,,8,0,22.87,5,1,15,25,,
3,2024/3/26 10:09,1,119.84815,31.71161,,79,302,-89.57,12.33,171;73,-93.76;-99.46,0.06,0.02,0.05,142,0,7.51,2.66,3,0.29,0.01,0.27,66,11.47,23.72,6.33,1,9,25,,
4,2024/3/26 10:09,0,119.84816,31.71161,,79,302,-84.32,14.02,171;73,-89.12;-94.98,134.58,116.51,121.48,1171,6.85,14.67,219.91,3,31.36,12.2,27.26,504,12.44,19.38,223.15,1,20,25,,
5,2024/3/26 10:09,1,119.84816,31.71162,,79,171,-86.98,12.74,302;73,-90.20;-94.32,402.24,360.69,363.08,1404,8.07,17.44,240.29,3,65.89,55.29,56.66,600,15.77,19.82,245.55,1,22,25,,
6,2024/3/26 10:09,3,119.84815,31.71161,,79,171,-82.63,6.68,302;73,-87.27;-95.77,632.07,360.69,583.53,1308,5.29,23.94,241.01,3,114.35,81.91,99.57,558,11.49,25.16,245.73,1,19,25,,
7,2024/3/26 10:09,1,119.84814,31.71162,10.66,79,171,-84.04,6.1,302;73,-84.20;-99.84,723.72,710.22,667.39,1274,9.1,24.81,239.53,3,132.94,116.29,116.45,552,12.36,24.86,246,1,19,25,,
8,2024/3/26 10:10,3,119.84814,31.71162,0,79,302,-83.71,24.72,171,-82.69,856.91,775.37,784.61,1404,8.33,24.65,240.19,2.07,137,116.02,121.6,600,11.22,22.09,246,1,19,22,,
9,2024/3/26 10:10,3,119.84814,31.71162,0,79,302,-83.15,25.02,171,-81.69,864.26,784.89,792.15,1406,8.08,24.69,243.32,2.08,134.86,119.17,119.3,600,11.05,22.47,246,1,19,22,,
10,2024/3/26 10:10,3,119.84814,31.71162,0,79,302,-83.28,24.24,171,-81.04,869.9,788.33,796.19,1406,8.61,24.47,241.67,2,138.76,120.15,122.48,600,12.35,22.98,245.1,1,19,20,,
