KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
"1",2024/3/20 10:09:41,"11","119.84804","31.71167","","79","171","-78.45","28.97","","","","","","10","0","0","3","3","","0","","0","","","","","","25","",""
"2",2024/3/20 10:09:42,"11","119.84804","31.71167","","79","171","-81.58","29.3","","","0","0","0","24","0","1.5","2.37","3","0.08","0","0.07","26","8.69","24.38","3","1","3","25","",""
"3",2024/3/20 10:09:43,"12","119.84805","31.71167","","79","171","-82.39","29.28","","","29.82","34.23","29.2","619","0.17","11.64","133.38","2.58","17.16","13.05","13.6","265","13.99","24.21","142.25","1","9","25","",""
"4",2024/3/20 10:09:44,"13","119.84804","31.71166","","79","171","-90.24","28.06","","","280","263.4","255.63","1228","7.89","23.69","237.42","2","49.62","48.46","41.92","552","13.29","19.35","246","1","22","25","",""
"5",2024/3/20 10:09:45,"14","119.84802","31.71166","","79","171","-87.2","28.5","","","568.44","526.37","516.97","1274","9.14","25.25","240.16","2","84.35","86.54","71.06","552","16.05","20.15","246","1","22","25","",""
"6",2024/3/20 10:09:46,"14","119.84803","31.71166","","79","171","-85.56","29.18","","","777.26","698.14","699.35","1274","9.16","25.43","245.24","2","111","92.94","94.52","552","14.05","20.07","246","1","19","25","",""
"7",2024/3/20 10:09:47,"14","119.84803","31.71165","6.97","79","171","-82.99","31.56","","","824.16","734.74","742.32","1272","8.72","26.01","243.58","2","115.98","95.95","96.4","552","18.64","21.95","246","1","19","25","",""
"8",2024/3/20 10:09:48,"14","119.84803","31.71164","6.56","79","171","-82.91","30.26","","","836.54","747.78","750.98","1270","8.51","26.2","244.83","2.15","115.59","96.31","97.38","552","11.27","19.54","246","1","21","25","",""
"9",2024/3/20 10:09:49,"14","119.84803","31.71164","5.74","79","171","-86","30.38","","","848.31","759.46","766.42","1270","8.42","26.53","244.78","2","117.97","99.31","100.21","552","12.18","21.13","246","1","19","25","",""
"10",2024/3/20 10:09:50,"14","119.84802","31.71164","5.48","79","171","-88.1","29.96","","","843.92","749.3","754.27","1270","10.5","24.75","244.15","2","113.72","97.49","98.69","552","14.85","20.01","246","1","22","25","",""
"11",2024/3/20 10:09:51,"13","119.84802","31.71165","5.33","79","171","-89.94","26.93","","","833.03","739.42","748.91","1272","8.7","25.02","244.24","2","114.23","97.05","97.5","552","15.72","20.03","246","1","22","25","",""
"12",2024/3/20 10:09:52,"13","119.84804","31.71165","4.57","79","171","-87.74","29.33","","","813.36","728.83","733.63","1272","8.12","25.13","243.01","2.23","119.98","102.29","101.79","552","13.86","23.64","246","1","19","25","",""
"13",2024/3/20 10:09:53,"13","119.84803","31.71164","4.64","79","171","-89.19","29.54","","","809.14","720.99","729.15","1272","11.55","24.2","245.98","2.25","119.64","101.42","101.72","552","14.78","20.02","246","1","19","25","",""
"14",2024/3/20 10:09:54,"13","119.84802","31.71164","4.64","79","171","-87.35","25.25","","","782.62","697.87","700.9","1270","8.7","22.27","244.5","2.07","121.2","101.36","102.74","552","17.51","20.79","246","1","22","25","",""
"15",2024/3/20 10:09:55,"13","119.84802","31.71163","4.51","79","171","-92.9","28.11","","","775.36","687.16","693.17","1268","9.01","24.28","244.89","2","111.45","93.52","94.27","552","11.63","18.9","246","1","22","25","",""
"16",2024/3/20 10:09:56,"13","119.84802","31.71164","4.23","79","171","-90.76","29.99","","","763.09","700.02","695.54","1272","6.06","24.61","242","2.07","108.35","89.75","92.9","552","13.32","19.14","246","1","22","25","",""
"17",2024/3/20 10:09:57,"13","119.84803","31.71164","4.25","79","171","-95.08","25.37","","","786.5","709.82","718.49","1274","9.54","24.81","242.35","2.08","103.09","87.94","88.74","552","15.32","18.58","246","1","22","25","",""
"18",2024/3/20 10:09:58,"13","119.84803","31.71164","3.83","79","171","-95.4","27.43","","","761.64","684.84","687.55","1272","9.64","23.61","241.73","2","97.06","79.46","82.65","552","13.89","18.09","244.68","1","22","25","",""
"19",2024/3/20 10:09:59,"13","119.84803","31.71164","3.81","79","171","-84.85","30.08","","","766.11","680.86","683.61","1266","8.32","25.08","242.9","2","96.55","77.54","81.53","550","15.93","19.78","243","1","12","23","",""
"20",2024/3/20 10:10:00,"13","119.84803","31.71164","3.43","79","171","-84.96","28.9","","","783.1","701.21","705.82","1274","7.81","26.37","243.19","2","100.08","88.14","86.56","552","10.4","21.76","243","1","21","25","",""
"21",2024/3/20 10:10:01,"13","119.84802","31.71164","3.43","79","171","-87.6","27.98","","","818.81","728.47","738.72","1272","10.96","25.07","241.67","2","107.27","89.92","92.76","552","14.54","20.04","245.15","1","21","25","",""
"22",2024/3/20 10:10:02,"13","119.84802","31.71164","2.61","79","171","-87.85","27.56","","","823.27","737.8","742.93","1272","8.91","25.88","243.2","2","108.79","94.91","94.12","552","13.39","19.79","246","1","21","25","",""
"23",2024/3/20 10:10:03,"12","119.84802","31.71164","2.35","79","171","-87.28","28.56","","","819.99","736.14","741.13","1272","7.52","26.11","241.86","2","112.77","96.24","97.39","552","13.16","21.55","246","1","19","25","",""
"24",2024/3/20 10:10:04,"12","119.84802","31.71164","1.64","79","171","-88.46","28.26","","","829.8","754.55","757.49","1272","8.29","26.31","242.78","2","118.11","102.98","103.08","552","11.49","21.99","246","1","19","25","",""
"25",2024/3/20 10:10:05,"12","119.84802","31.71164","1.48","79","171","-87.31","28.35","","","836.36","755.63","762.87","1272","8.99","26.06","241.53","2","123.22","107.45","107.86","552","12.36","21.94","246","1","19","25","",""
"26",2024/3/20 10:10:06,"12","119.84802","31.71164","0.75","79","171","-87.62","28.1","","","786.48","711.43","714.58","1272","7.7","26","227.18","2.07","124.31","109.24","109.6","552","11.13","22.2","244.38","1","19","25","",""
"27",2024/3/20 10:10:07,"12","119.84802","31.71164","0.68","79","171","-86.82","28.63","","","782.38","704.73","711.84","1274","8.52","25.89","242.07","2","124.9","110.41","111.01","552","11.23","22.35","245.57","1","19","25","",""
"28",2024/3/20 10:10:08,"12","119.84802","31.71164","0.37","79","171","-87.44","28.14","","","779.17","709.46","711.18","1274","7.89","26.16","241.98","2","125.43","110.18","111.69","552","10.94","22.16","246","1","19","25","",""
"29",2024/3/20 10:10:09,"12","119.84802","31.71164","0.34","79","171","-86.71","27.96","","","833.55","752.56","758.91","1272","8.74","26.21","243.33","2.08","124.9","110.79","111.31","552","9.81","21.79","246","1","19","25","",""
"30",2024/3/20 10:10:10,"12","119.84802","31.71164","0.34","79","171","-86.89","28.3","","","832.48","754.54","757.69","1272","8.76","24.86","242.49","2","124.17","109.84","110.51","552","11.67","22.1","246","1","19","25","",""
"31",2024/3/20 10:10:11,"12","119.84802","31.71164","0","79","171","-85.21","29.72","","","837.34","753.22","761.04","1274","8.7","26.25","242.82","2","123.96","109.28","110.79","552","10.01","21.93","246","1","19","25","",""
"32",2024/3/20 10:10:12,"12","119.84802","31.71164","0","79","171","-85.75","28.94","","","829.7","754.43","757.8","1274","7.41","25.98","241.22","2","124.39","108.94","110.37","552","11.31","22.09","246","1","19","25","",""
"33",2024/3/20 10:10:13,"12","119.84802","31.71164","0","79","171","-87","28.34","","","831.94","746.12","756.49","1274","9.54","25.62","241.22","2","124.91","109.16","110.28","552","13.04","22.21","246","1","19","25","",""
"34",2024/3/20 10:10:14,"12","119.84802","31.71164","0","79","171","-88.05","28.52","","","817.92","742.11","744.33","1274","8.91","25.32","241.52","2","124.66","108.62","109.83","552","9.3","21.93","246","1","19","25","",""
"35",2024/3/20 10:10:15,"12","119.84802","31.71164","0","79","171","-86.88","28.81","","","815.6","737.33","744.85","1272","6.73","25.79","240.56","2","124.97","110.09","110.73","552","10.14","22.22","246","1","19","25","",""
"36",2024/3/20 10:10:16,"12","119.84802","31.71164","0","79","171","-86.55","29.49","","","810.91","727.48","730.95","1270","11.78","25","241.95","2","127.36","112.98","113.87","552","10.03","23.16","246","1","19","25","",""
"37",2024/3/20 10:10:17,"12","119.84802","31.71164","0","79","171","-87.48","28.06","","","807.52","720.11","727.98","1270","8.62","24.71","242.59","2","128.33","113.36","114.62","552","11.59","22.13","246","1","19","25","",""
"38",2024/3/20 10:10:18,"12","119.84802","31.71164","0","79","171","-87.51","28.93","","","793.85","709.6","711.43","1272","7.89","24.48","242.43","2","125.07","108.4","111.34","552","10.58","21.02","246","1","19","25","",""
"39",2024/3/20 10:10:19,"12","119.84802","31.71164","0","79","171","-85.72","29.43","","","794.01","716.5","723.76","1272","7.53","25.03","243.62","2","124.03","108.14","109.34","552","12.5","22.37","246","1","19","25","",""
"40",2024/3/20 10:10:20,"12","119.84802","31.71164","0","79","171","-86.25","29.92","","","799.27","722.71","722.66","1272","9.31","24.66","243.32","2","123.15","110.35","109.75","552","8.77","22.43","245.68","1","19","25","",""
"41",2024/3/20 10:10:21,"12","119.84802","31.71164","0","79","171","-86.33","28.79","","","810.35","726.77","735.16","1274","7.57","25.35","242.36","2","127.44","111.34","113.04","552","11.23","22.49","245.3","1","19","25","",""
"42",2024/3/20 10:10:22,"12","119.84802","31.71164","0","79","171","-86.62","28.64","","","810.97","726.76","729.65","1274","9.04","24.94","242.29","2","126.91","112.03","113.31","552","11.74","22.41","245.66","1","19","25","",""
"43",2024/3/20 10:10:23,"12","119.84802","31.71164","0","79","171","-87.5","29.08","","","815.66","734.4","741.14","1272","7.23","25.64","243.58","2","127.35","111.48","113.06","552","10.36","22.42","245.95","1","19","25","",""
"44",2024/3/20 10:10:24,"12","119.84802","31.71164","0","79","171","-88.72","27.41","","","815.09","734.02","736.51","1272","8.54","25.4","243.53","2","122.65","105.71","107.67","552","14.23","20.14","246","1","19","25","",""
"45",2024/3/20 10:10:25,"12","119.84802","31.71164","0","79","171","-87.94","27.38","","","810.17","729.23","739.15","1272","8.07","24.65","244.05","2","124.14","108.84","109.68","552","10.32","22.95","245.97","1","19","25","",""
"46",2024/3/20 10:10:26,"12","119.84802","31.71164","0","79","171","-87.49","28.74","","","796.48","722.01","725.22","1272","8.14","24.63","243.76","2","124.37","109.75","110.23","552","8.94","22.69","245.99","1","19","25","",""
"47",2024/3/20 10:10:27,"12","119.84802","31.71164","0","79","171","-86.53","29.51","","","797.48","729.14","736.67","1270","5.88","25.73","243.57","2","128.55","113.55","114.33","552","13.22","22.2","245.98","1","19","25","",""
"48",2024/3/20 10:10:28,"12","119.84802","31.71164","0","79","171","-85.03","29.42","","","809.54","744.56","744.75","1270","8.88","25.91","243.17","2","125.88","109.35","111.35","552","12.61","21.88","246","1","19","25","",""
"49",2024/3/20 10:10:29,"12","119.84802","31.71164","0","79","171","-85.32","28.8","","","822.54","749.01","755.31","1272","8.01","25.34","244.41","2","124.89","108.56","109.43","552","11.23","22.04","245.97","1","19","25","",""
"50",2024/3/20 10:10:30,"12","119.84802","31.71164","0","79","171","-84.87","29.25","","","824","752.37","754.07","1272","6.39","25.97","244.35","2","124.25","109.33","110.25","552","9.85","22.14","246","1","19","25","",""
"51",2024/3/20 10:10:31,"12","119.84802","31.71164","0","79","171","-85.5","28.63","","","833.04","758.88","766.13","1270","7.44","26.09","242.85","2","125.6","110.74","111.86","552","11.05","22.33","246","1","19","25","",""
"52",2024/3/20 10:10:32,"12","119.84802","31.71164","0","79","171","-86.28","29.1","","","838.12","766.5","769.7","1272","8.2","26.11","243.01","2","124.32","107.94","110.17","552","12.95","21.51","245.93","1","19","25","",""
"53",2024/3/20 10:10:33,"12","119.84802","31.71164","0","79","171","-86.93","27.82","","","837.01","749.29","761.38","1272","8.56","25.87","238.84","2","120.72","103.17","106.5","552","10.03","20.56","240.44","1","19","25","",""
"54",2024/3/20 10:10:34,"12","119.84802","31.71164","0","79","171","-87.1","27.98","","","827.9","746.35","748.54","1272","8.53","25.81","242.2","2","117.32","102.69","103.93","552","10.58","21.12","243.82","1","19","25","",""
"55",2024/3/20 10:10:35,"12","119.84802","31.71164","0","79","171","-87.64","28.73","","","828.05","738","746.97","1274","9.45","26","241.17","2","116.63","103.23","103.83","552","11.13","21.2","245.97","1","19","25","",""
"56",2024/3/20 10:10:36,"12","119.84802","31.71164","0","79","171","-84.89","28.3","","","829.48","746.72","749.13","1274","8.6","25.81","242.48","2","120.2","106.86","107.34","552","9.67","22.15","245.99","1","19","25","",""
