KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
"1",2024/3/26 15:53:44,"8","119.84814","31.71167","","79","171","-85.31","28.46","","","0.06","0.04","0.04","31","0","3.2","5.29","2.38","0.34","0","0.28","34","11.53","23.6","3","1","4","25","",""
"2",2024/3/26 15:53:45,"8","119.84813","31.71167","","79","171","-84.55","27.06","","","0.06","0.05","0.05","43","0","3.77","2.83","2.6","0.27","0.02","0.23","60","20","24.66","3.33","1","5","25","",""
"3",2024/3/26 15:53:46,"8","119.84813","31.71168","","79","171","-80.52","30.13","","","18.16","5.6","15.54","606","0","13.7","80.49","2.3","21.58","16.79","20.85","297","2.98","25.78","161.36","1","9","25","",""
"4",2024/3/26 15:53:47,"8","119.84812","31.71168","","79","171","-77.55","30.24","","","165.7","129.07","157.7","1151","0","25.16","213.56","2.58","72.27","76.3","66.8","600","8.83","25.84","246","1","17","25","",""
"5",2024/3/26 15:53:48,"8","119.84812","31.71168","","79","171","-77.58","30.08","","","416.85","374.6","408.33","1404","0","26.52","244.76","2","127.39","109.99","114.87","600","13","25.18","246","1","19","25","",""
"6",2024/3/26 15:53:49,"8","119.84812","31.71167","","79","171","-87.78","29.42","","","699.49","601.59","671.38","1406","7.55","25.87","239.67","2.16","149.27","128.67","129.42","600","19.83","19.94","246","1","22","25","",""
"7",2024/3/26 15:53:50,"7","119.84812","31.71167","","79","171","-86.53","30.14","","","855.4","796.07","812.47","1406","4.77","25","242.61","2","136.35","116.13","116.44","600","10.38","20.88","245.8","1","19","25","",""
"8",2024/3/26 15:53:51,"7","119.84812","31.71167","2.47","79","171","-92.15","29.73","","","934.67","835.6","837.12","1406","15.69","24.8","241.49","2","121.65","103.3","104.42","600","11.2","18.99","246","1","22","25","",""
"9",2024/3/26 15:53:52,"7","119.84812","31.71167","2.11","79","171","-84.71","31.84","","","938.55","848.59","852.52","1404","4.92","25.98","242.48","2","124.92","107.95","110","600","11.2","21.52","246","1","19","25","",""
"10",2024/3/26 15:53:53,"7","119.84812","31.71167","1.85","79","171","-84.75","31.27","","","920.57","820.89","826.54","1406","8.6","26.04","241.54","2","125.33","109.99","110.63","600","11.7","21.19","246","1","19","25","",""
