KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
"1",2024/2/27 14:07:23,"11","119.84829","31.71163","","79","171","-81.19","11.93","302;82;73","-82.28;-105.41;-105.70","0.1","0.08","0.09","29","0","3.82","4.75","2.83","0.33","","0.33","21","0","25","3.38","1","1","22","",""
"2",2024/2/27 14:07:24,"11","119.84829","31.71163","","79","171","-77.89","11.61","302;73;82","-87.05;-97.12;-155.15","0.05","0.05","0.05","32","0","0.88","3.22","2.22","0.08","0.02","0.08","22","0","24.33","3","1","5","18","",""
"3",2024/2/27 14:07:25,"11","119.84829","31.71162","","79","302","-85.53","6.42","171;73;82","-84.61;-98.23;-137.87","3.62","2.31","3.33","397","0.75","7.33","103.02","2.8","0.42","0.17","0.41","133","4.8","24.19","43.93","1","10","23","",""
"4",2024/2/27 14:07:26,"11","119.84828","31.71163","","79","302","-82.92","12.97","171;73;82","-89.96;-100.91;-109.95","165.48","139.4","148.51","1400","8.9","13.83","244.42","2","56.68","30.35","46.31","599","17.38","20.52","246","1","19","25","",""
"5",2024/2/27 14:07:27,"12","119.84828","31.71162","","79","302","-81.5","13.68","171;73;82","-89.27;-96.23;-148.11","321.76","282.37","284.57","1406","11.82","13.16","242.04","2","97.65","76.53","80.44","600","16.38","22.21","246","1","19","25","",""
"6",2024/2/27 14:07:28,"12","119.84828","31.71162","","79","302","-82.41","13.38","171;73;82","-89.05;-92.74;-153.20","431.95","379.24","382.38","1404","9.85","16.27","244.25","2.15","130.98","109.08","107.91","600","17.52","22.38","246","1","19","25","",""
"7",2024/2/27 14:07:29,"11","119.84828","31.71162","","79","302","-82.24","12.31","171;73","-84.34;-92.48","401.47","360.15","359.74","1402","8.2","14.98","242.35","2.25","133.64","107.34","109.38","600","20.43","20.44","246","1","19","25","",""
"8",2024/2/27 14:07:30,"11","119.84828","31.71162","2.21","79","302","-78.62","20.04","171;73","-79.65;-112.42","395.83","355.31","357.24","1404","9.33","16.83","241.93","2.07","135.97","110.13","110.46","600","17.92","23.06","246","1","19","25","",""
"9",2024/2/27 14:07:31,"11","119.84828","31.71162","1.89","79","171","-79.78","14.24","302;82;73","-82.76;-93.66;-95.13","367.95","356.49","334.21","1406","6.54","12.68","243.37","2.54","134.61","109.94","113.49","600","10.14","23.7","244.69","1","19","25","",""
"10",2024/2/27 14:07:32,"11","119.84828","31.71162","1.65","79","171","-77.63","11.93","302;73;82","-80.54;-95.34;-155.69","360.05","315.28","324.42","1404","9.47","10.62","244.2","3","149.3","130.06","132.82","600","7.34","26.25","246","1","19","25","",""
"11",2024/2/27 14:07:33,"11","119.84828","31.71162","1.47","79","171","-77.73","8.67","302;82;73","-85.17;-101.07;-112.55","343.33","318.71","309.18","1406","8.19","11.25","242.91","2.92","157.52","149.04","147.36","600","5.18","26.04","246","1","16","25","",""
"12",2024/2/27 14:07:34,"11","119.84828","31.71162","1.32","79","171","-77","7.52","302;73","-83.34;-101.86","368.37","331.44","332.64","1404","7.2","12.03","243.97","3","167.64","154.95","153.67","600","12.22","25.9","246","1","15","25","",""
"13",2024/2/27 14:07:35,"11","119.84828","31.71162","1.02","79","171","-81.3","9.79","302;73","-94.51;-95.49","392.21","350.75","356.47","1406","8.86","12.54","244.12","2.69","162.55","147.68","146.5","600","12.83","23.6","246","1","18","25","",""
"14",2024/2/27 14:07:36,"11","119.84828","31.71162","0.44","79","171","-76.47","10.21","302;73","-80.19;-94.38","434.62","393.3","396.02","1396","8.37","14.89","241.67","3","156.92","137.32","137.21","597","12.39","24.65","246","1","19","25","",""
"15",2024/2/27 14:07:37,"11","119.84828","31.71162","0.4","79","171","-77.63","9.17","302;73","-81.69;-95.13","476.59","422.62","430.11","1408","9.67","15.07","243.04","3","154.17","131.2","135.83","600","10.55","24.93","246","1","19","25","",""
"16",2024/2/27 14:07:38,"11","119.84828","31.71162","0","79","171","-75.71","11","302;73","-82.13;-107.97","500.22","440.9","447.91","1406","9.2","14.14","244.43","3","157.28","138.54","138.25","600","11.72","25.09","246","1","19","25","",""
"17",2024/2/27 14:07:39,"11","119.84828","31.71162","0","79","171","-76.49","10.13","302;73","-81.10;-97.80","488.97","438.24","441.55","1404","7.97","14.27","243.95","2.84","157.98","138.04","138.93","600","11.35","24.75","246","1","19","25","",""
"18",2024/2/27 14:07:40,"11","119.84828","31.71162","0","79","171","-76.63","11.75","302;73","-82.68;-134.30","476.9","430.74","431.43","1406","8.54","14.21","242.43","2.83","157.82","136.95","138.32","600","11.89","25","246","1","19","25","",""
"19",2024/2/27 14:07:41,"11","119.84828","31.71162","0","79","171","-76.92","10.07","302;73","-86.31;-110.46","475.37","427.8","430.99","1406","9.46","14.82","242.84","2.92","155.78","137.29","137.5","600","11.22","24.06","246","1","19","25","",""
"20",2024/2/27 14:07:42,"11","119.84828","31.71162","0","79","171","-81.32","10.31","302;73","-87.14;-97.38","473.86","424.54","427.04","1406","8.76","18.79","244.05","2.25","144.44","128.07","126.91","600","12.37","19.48","246","1","22","25","",""
"21",2024/2/27 14:07:43,"11","119.84828","31.71162","0","79","171","-86.5","9.77","302;73","-90.12;-101.74","462.62","414.68","419.61","1408","6.98","18.55","240.96","2.69","125.61","112.89","110.76","600","11.2","18.36","244.54","1","22","25","",""
"22",2024/2/27 14:07:44,"11","119.84828","31.71162","0","79","171","-82.08","12.18","302;73","-89.95;-94.88","483.31","434.11","436.49","1404","10.41","21.21","244.19","2.75","115.58","101.97","102.47","600","10.05","22.23","243","1","21","25","",""
"23",2024/2/27 14:07:45,"11","119.84828","31.71162","0","79","171","-81.92","12.21","302;73","-89.04;-95.40","485.85","432.38","438.56","1406","9.07","19.45","240.62","2.76","119.18","105.61","105.91","600","11.89","22.8","243","1","21","25","",""
"24",2024/2/27 14:07:46,"11","119.84828","31.71162","0","79","171","-87.92","10.21","302;73","-88.30;-97.40","489.78","436.73","436.9","1406","9.11","19.16","241.32","2.25","118.92","106.21","105.14","600","13","17.97","243","1","23","25","",""
"25",2024/2/27 14:07:47,"11","119.84828","31.71162","0","79","171","-92.34","7.19","302;73","-89.90;-96.78","468.69","425.85","428.62","1404","8.38","19.23","244.84","2.69","110.37","96.01","97.03","600","11.14","17.55","243","1","23","25","",""
"26",2024/2/27 14:07:48,"11","119.84828","31.71162","0","79","302","-93.2","8.95","171;73","-96.14;-96.48","430.4","425.81","387.16","1394","10.46","13.9","241.14","2.45","95.41","85.15","83.21","594","15.61","16.23","243.82","1","23","25","",""
"27",2024/2/27 14:07:49,"11","119.84828","31.71162","0","79","302","-89.46","12.37","171;73","-95.37;-99.39","407.79","331.68","368.45","1404","7.62","12.49","243.49","2","81.58","73.15","70.35","600","14.9","11.09","246","1","22","26","",""
"28",2024/2/27 14:07:50,"11","119.84828","31.71162","0","79","302","-90.5","11.88","171;73","-94.90;-102.66","388.72","344.86","347.11","1406","10.69","13.72","244.2","2","67.59","53.77","57.09","600","13.56","10.78","245.7","1","22","26","",""
"29",2024/2/27 14:07:51,"11","119.84828","31.71162","0","79","302","-87.75","13.12","171;73","-92.66;-97.05","410.02","371.84","370.59","1402","7.46","17.3","241.27","2","66.79","53.95","55.54","600","16.52","15.11","243.19","1","23","23","",""
"30",2024/2/27 14:07:52,"11","119.84828","31.71162","0","79","302","-86.5","13.91","171;73","-90.76;-98.22","421.66","377.83","381.42","1404","8.11","17.88","241.23","2","79.03","66.31","66.6","600","14.02","18","243","1","23","21","",""
"31",2024/2/27 14:07:53,"11","119.84828","31.71162","0","79","302","-84.47","13.8","171;73","-91.57;-95.70","436.63","397.84","401.51","1404","6.28","14.23","244.85","2","94.34","80.5","79.08","600","16.75","17.76","243","1","23","22","",""
"32",2024/2/27 14:07:54,"11","119.84828","31.71162","0","79","302","-86.32","14.06","171;73","-90.22;-96.53","460.65","414.72","419.56","1402","9.62","14.44","242.19","2","97.8","81.01","82.87","600","12.89","16.48","243","1","23","23","",""
"33",2024/2/27 14:07:55,"11","119.84828","31.71162","0","79","302","-84.08","18.19","171;73","-86.02;-96.47","464.74","413.8","417.59","1404","11.17","15.62","241.67","2","95.88","80.62","81","600","15.35","16.99","243","1","23","22","",""
"34",2024/2/27 14:07:56,"11","119.84828","31.71162","0","79","302","-84.33","18.91","171;73","-85.66;-96.43","452.74","400.2","402.55","1406","9.34","17.36","244","2","98.44","82.4","84.55","600","12.18","19.54","243","1","22","22","",""
"35",2024/2/27 14:07:57,"11","119.84828","31.71162","0","79","302","-80.21","16.81","171;82;73","-85.74;-93.25;-97.14","428.76","382.76","383.42","1406","8.7","17.15","243.65","2","105.18","87.81","89.95","600","14.4","19.53","243","1","22","21","",""
