KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
1,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-71.33,21.41,171,-78.37,1021.93,923.64,925.57,1404,9.9,22.09,241.49,3,167.31,148.36,148.11,600,9.71,26,246,1,18,25,,
2,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-71.32,19.05,171,-77.1,1017.49,917.75,923.66,1404,7.39,22.19,242.3,3,167.47,150.35,150.9,600,11.33,26,246,1,18,25,,
3,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-71.23,19.9,171,-77.84,1016.8,915.41,924.91,1402,8.27,22.18,242.15,3,167.21,147.27,148.29,600,12.52,25.94,246,1,18,25,,
4,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-70.89,19.81,171,-78,1021.44,919.63,930.26,1404,8.68,22.23,243.23,3.07,166.96,144.91,147.12,600,11.89,25.92,246,1,18,25,,
5,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-71.21,19.57,171,-78.02,1010.85,912.1,913.81,1408,9.63,22.91,240.82,3.16,166.92,147.84,150.06,600,5.83,25.99,246,1,17,25,,
6,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-71.51,20.05,171,-77.52,983.47,887.73,889.22,1406,7.67,26.46,244.64,3.07,167.2,152.8,153.98,603,6.14,26,246,1,18,25,,
7,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-71.89,20.17,171,-77.95,977.12,879.43,896.09,1406,8.17,23.32,241.49,3.25,167.43,157.3,158.77,603,4,26,246,1,19,25,,
8,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-74.64,20.43,171,-73.16,966.4,879.58,876.13,1408,10.9,22.56,240.2,3,162.81,152.36,151.16,600,13,24.16,246,1,19,25,,
9,2024/3/1 10:00,9,119.84829,31.7116,0,79,302,-77.78,12.94,171;73,-75.13;-94.91,946.75,862.69,865.19,1406,6.17,25.21,243.16,3,160.54,143.08,146.58,602,10.81,25.28,246,1,19,25,,
10,2024/3/1 10:00,10,119.84829,31.7116,0,79,302,-79.28,12.46,171;73,-79.30;-92.14,887.87,826.39,807.6,1408,8.76,24.69,241.75,3,157.25,134.29,138.61,602,12.04,24.86,246,1,19,25,,
